ticket_id,trip_id,route_id,origin_stop_id,dest_stop_id,origin_stop_name,dest_stop_name,origin_sequence,dest_sequence,distance_km,fare_inr,passenger_count,total_amount_inr,payment_mode,concession_type,timestamp,synthetic_flag
TKT_20260829_10_0003,10,991,20921_PF5,21027,Kempegowda Bus Station - Platform 5,Modi Hospital,1,10,4.946,15.0,1,15.0,upi,none,2026-08-29T07:19:57Z,True
TKT_20260829_10_0004,10,991,20921_PF5,21164,Kempegowda Bus Station - Platform 5,Shankar Mutt,1,11,5.416,15.0,1,15.0,upi,none,2026-08-29T07:20:15Z,True
TKT_20260829_10_0005,10,991,20921_PF5,33636,Kempegowda Bus Station - Platform 5,Kurubarahalli,1,12,6.08,18.0,1,18.0,upi,none,2026-08-29T07:20:24Z,True
TKT_20260829_10_0006,10,991,20921_PF5,32209,Kempegowda Bus Station - Platform 5,Cauvery Nagara,1,13,6.653,18.0,1,18.0,cash,none,2026-08-29T07:20:47Z,True
TKT_20260829_10_0007,10,991,20603,20810,Ananda Rao Circle,Harishchandra Ghat,2,7,2.783,10.0,1,10.0,cash,none,2026-08-29T07:22:21Z,True
TKT_20260829_10_0008,10,991,20603,21164,Ananda Rao Circle,Shankar Mutt,2,11,4.935,15.0,1,15.0,cash,none,2026-08-29T07:23:22Z,True
TKT_20260829_10_0009,10,991,20603,21164,Ananda Rao Circle,Shankar Mutt,2,11,4.935,15.0,1,15.0,upi,none,2026-08-29T07:23:21Z,True
TKT_20260829_10_0010,10,991,20603,33636,Ananda Rao Circle,Kurubarahalli,2,12,5.599,15.0,1,15.0,cash,none,2026-08-29T07:22:47Z,True
TKT_20260829_10_0011,10,991,20603,32209,Ananda Rao Circle,Cauvery Nagara,2,13,6.172,18.0,1,18.0,cash,none,2026-08-29T07:22:55Z,True
TKT_20260829_10_0012,10,991,35303,20810,Swastik Sheshadripuram College,Harishchandra Ghat,3,7,2.022,10.0,1,10.0,cash,none,2026-08-29T07:27:28Z,True
TKT_20260829_10_0013,10,991,35303,21027,Swastik Sheshadripuram College,Modi Hospital,3,10,3.704,10.0,1,10.0,cash,none,2026-08-29T07:26:53Z,True
TKT_20260829_10_0014,10,991,35303,21164,Swastik Sheshadripuram College,Shankar Mutt,3,11,4.174,15.0,1,15.0,cash,none,2026-08-29T07:27:21Z,True
TKT_20260829_10_0015,10,991,35303,33636,Swastik Sheshadripuram College,Kurubarahalli,3,12,4.838,15.0,1,15.0,cash,none,2026-08-29T07:26:22Z,True
TKT_20260829_10_0016,10,991,35303,32209,Swastik Sheshadripuram College,Cauvery Nagara,3,13,5.411,15.0,1,15.0,cash,none,2026-08-29T07:27:45Z,True
TKT_20260829_10_0017,10,991,20702,20810,Central,Harishchandra Ghat,4,7,1.688,5.0,1,5.0,cash,none,2026-08-29T07:29:12Z,True
TKT_20260829_10_0018,10,991,20702,21007,Central,Mariyappanapalya,4,8,2.275,10.0,1,10.0,cash,none,2026-08-29T07:28:22Z,True
TKT_20260829_10_0019,10,991,20990,21007,Malleshwara Circle,Mariyappanapalya,5,8,1.452,5.0,1,5.0,upi,none,2026-08-29T07:33:07Z,True
TKT_20260829_10_0020,10,991,20990,32209,Malleshwara Circle,Cauvery Nagara,5,13,4.254,15.0,1,15.0,cash,none,2026-08-29T07:32:38Z,True
TKT_20260829_10_0021,10,991,20751,21007,Devaiah Park,Mariyappanapalya,6,8,0.958,5.0,1,5.0,cash,none,2026-08-29T07:36:00Z,True
TKT_20260829_10_0022,10,991,20751,33636,Devaiah Park,Kurubarahalli,6,12,3.187,10.0,1,10.0,upi,none,2026-08-29T07:35:46Z,True
TKT_20260829_10_0023,10,991,20751,33636,Devaiah Park,Kurubarahalli,6,12,3.187,10.0,1,10.0,cash,none,2026-08-29T07:35:18Z,True
TKT_20260829_10_0024,10,991,20751,32209,Devaiah Park,Cauvery Nagara,6,13,3.76,10.0,1,10.0,upi,none,2026-08-29T07:35:22Z,True
TKT_20260829_10_0025,10,991,20810,21049,Harishchandra Ghat,Navarang Theatre,7,9,1.345,5.0,1,5.0,cash,none,2026-08-29T07:37:12Z,True
TKT_20260829_10_0026,10,991,20810,21027,Harishchandra Ghat,Modi Hospital,7,10,1.682,5.0,1,5.0,cash,none,2026-08-29T07:38:14Z,True
TKT_20260829_10_0027,10,991,20810,21164,Harishchandra Ghat,Shankar Mutt,7,11,2.152,0.0,1,0.0,pass_card,daily_pass,2026-08-29T07:36:29Z,True
TKT_20260829_10_0028,10,991,21007,21164,Mariyappanapalya,Shankar Mutt,8,11,1.565,5.0,1,5.0,upi,none,2026-08-29T07:40:16Z,True
TKT_20260829_10_0029,10,991,21007,33636,Mariyappanapalya,Kurubarahalli,8,12,2.229,10.0,1,10.0,upi,none,2026-08-29T07:39:53Z,True
TKT_20260829_10_0030,10,991,21007,32209,Mariyappanapalya,Cauvery Nagara,8,13,2.802,10.0,1,10.0,cash,none,2026-08-29T07:40:50Z,True
TKT_20260829_10_0031,10,991,21049,21164,Navarang Theatre,Shankar Mutt,9,11,0.807,0.0,1,0.0,pass_card,daily_pass,2026-08-29T07:43:51Z,True
TKT_20260829_10_0032,10,991,21049,32209,Navarang Theatre,Cauvery Nagara,9,13,2.044,10.0,1,10.0,cash,none,2026-08-29T07:44:45Z,True
TKT_20260829_10_0033,10,991,21049,32209,Navarang Theatre,Cauvery Nagara,9,13,2.044,10.0,1,10.0,cash,none,2026-08-29T07:43:55Z,True
TKT_20260829_10_0034,10,991,21049,32209,Navarang Theatre,Cauvery Nagara,9,13,2.044,10.0,1,10.0,upi,none,2026-08-29T07:44:18Z,True
TKT_20260829_10_0035,10,991,21027,32209,Modi Hospital,Cauvery Nagara,10,13,1.707,5.0,1,5.0,cash,none,2026-08-29T07:46:31Z,True
TKT_20260829_10_0036,10,991,21027,32209,Modi Hospital,Cauvery Nagara,10,13,1.707,5.0,1,5.0,cash,none,2026-08-29T07:46:20Z,True
TKT_20260829_10_0037,10,991,21164,32209,Shankar Mutt,Cauvery Nagara,11,13,1.237,5.0,1,5.0,cash,none,2026-08-29T07:47:42Z,True
TKT_20260829_10_0038,10,991,21164,32209,Shankar Mutt,Cauvery Nagara,11,13,1.237,5.0,1,5.0,cash,none,2026-08-29T07:48:51Z,True
TKT_20260829_10_0039,10,991,33636,32209,Kurubarahalli,Cauvery Nagara,12,13,0.573,5.0,1,5.0,cash,none,2026-08-29T07:51:17Z,True
TKT_20260829_100_0001,100,991,24379,21008,Cauvery Nagara,Mariyappanapalya,1,6,2.908,0.0,1,0.0,pass_card,daily_pass,2026-08-29T05:25:58Z,True
TKT_20260829_100_0002,100,991,24379,20811,Cauvery Nagara,Harishchandra Ghat,1,7,3.361,10.0,1,10.0,cash,none,2026-08-29T05:25:09Z,True
TKT_20260829_100_0003,100,991,21165,20971,Shankar Mutt,Link Road,3,10,3.65,0.0,1,0.0,pass_card,daily_pass,2026-08-29T05:30:20Z,True
TKT_20260829_100_0004,100,991,21051,20752,Navarang Theatre,Devaiah Park,5,8,1.407,5.0,1,5.0,cash,none,2026-08-29T05:35:22Z,True
TKT_20260829_100_0005,100,991,20811,20971,Harishchandra Ghat,Link Road,7,10,1.538,5.0,1,5.0,cash,none,2026-08-29T05:39:40Z,True
TKT_20260829_100_0006,100,991,20811,20703,Harishchandra Ghat,Central,7,11,2.073,10.0,1,10.0,cash,none,2026-08-29T05:40:40Z,True
TKT_20260829_100_0007,100,991,20971,20703,Link Road,Central,10,11,0.535,5.0,1,5.0,cash,none,2026-08-29T05:46:40Z,True
TKT_20260829_1000_0001,1000,998,20940,20726,KR Market,Corporation,1,3,1.312,5.0,1,5.0,cash,none,2026-08-29T20:25:02Z,True
TKT_20260829_1000_0002,1000,998,20940,22317,KR Market,Museum,1,4,2.26,10.0,2,20.0,upi,none,2026-08-29T20:25:05Z,True
TKT_20260829_1000_0003,1000,998,20940,22317,KR Market,Museum,1,4,2.26,10.0,1,10.0,cash,none,2026-08-29T20:24:16Z,True
TKT_20260829_1000_0004,1000,998,20940,22317,KR Market,Museum,1,4,2.26,10.0,1,10.0,cash,none,2026-08-29T20:24:29Z,True
TKT_20260829_1000_0005,1000,998,20940,22317,KR Market,Museum,1,4,2.26,10.0,1,10.0,upi,none,2026-08-29T20:25:19Z,True
TKT_20260829_1000_0006,1000,998,20940,22317,KR Market,Museum,1,4,2.26,0.0,1,0.0,pass_card,daily_pass,2026-08-29T20:25:57Z,True
TKT_20260829_1000_0007,1000,998,20940,22286,KR Market,MG Statue (Chinnaswamy Stadium),1,5,2.658,10.0,1,10.0,cash,none,2026-08-29T20:24:27Z,True
TKT_20260829_1000_0008,1000,998,20940,22286,KR Market,MG Statue (Chinnaswamy Stadium),1,5,2.658,10.0,1,10.0,upi,none,2026-08-29T20:24:55Z,True
TKT_20260829_1000_0009,1000,998,20940,22286,KR Market,MG Statue (Chinnaswamy Stadium),1,5,2.658,0.0,1,0.0,pass_card,daily_pass,2026-08-29T20:25:36Z,True
TKT_20260829_1000_0010,1000,998,20940,22286,KR Market,MG Statue (Chinnaswamy Stadium),1,5,2.658,10.0,1,10.0,cash,none,2026-08-29T20:25:48Z,True
TKT_20260829_1000_0011,1000,998,20940,21572,KR Market,MG Road,1,6,3.068,10.0,2,20.0,cash,none,2026-08-29T20:24:30Z,True
TKT_20260829_1000_0012,1000,998,20940,21572,KR Market,MG Road,1,6,3.068,10.0,1,10.0,cash,none,2026-08-29T20:25:56Z,True
TKT_20260829_1000_0013,1000,998,20940,21173,KR Market,Shivajinagara Bus Station,1,7,3.688,10.0,2,20.0,upi,none,2026-08-29T20:25:59Z,True
TKT_20260829_1000_0014,1000,998,21231,20726,Town Hall,Corporation,2,3,0.729,5.0,1,5.0,upi,none,2026-08-29T20:27:22Z,True
TKT_20260829_1000_0015,1000,998,21231,22317,Town Hall,Museum,2,4,1.677,5.0,1,5.0,upi,none,2026-08-29T20:28:11Z,True
TKT_20260829_1000_0016,1000,998,21231,22317,Town Hall,Museum,2,4,1.677,5.0,1,5.0,cash,none,2026-08-29T20:28:55Z,True
TKT_20260829_1000_0017,1000,998,21231,22286,Town Hall,MG Statue (Chinnaswamy Stadium),2,5,2.075,10.0,1,10.0,cash,none,2026-08-29T20:27:20Z,True
TKT_20260829_1000_0018,1000,998,21231,21572,Town Hall,MG Road,2,6,2.485,10.0,2,20.0,cash,none,2026-08-29T20:27:12Z,True
TKT_20260829_1000_0019,1000,998,21231,21173,Town Hall,Shivajinagara Bus Station,2,7,3.105,10.0,2,20.0,cash,none,2026-08-29T20:27:23Z,True
TKT_20260829_1000_0020,1000,998,21231,21173,Town Hall,Shivajinagara Bus Station,2,7,3.105,10.0,1,10.0,cash,none,2026-08-29T20:28:35Z,True
TKT_20260829_1000_0021,1000,998,21231,21173,Town Hall,Shivajinagara Bus Station,2,7,3.105,10.0,1,10.0,cash,none,2026-08-29T20:28:53Z,True
TKT_20260829_1000_0022,1000,998,20726,22317,Corporation,Museum,3,4,0.948,0.0,1,0.0,pass_card,daily_pass,2026-08-29T20:32:05Z,True
TKT_20260829_1000_0023,1000,998,20726,22286,Corporation,MG Statue (Chinnaswamy Stadium),3,5,1.346,5.0,1,5.0,cash,none,2026-08-29T20:32:06Z,True
TKT_20260829_1000_0024,1000,998,20726,22286,Corporation,MG Statue (Chinnaswamy Stadium),3,5,1.346,5.0,1,5.0,cash,none,2026-08-29T20:31:08Z,True
TKT_20260829_1000_0025,1000,998,20726,21572,Corporation,MG Road,3,6,1.756,5.0,1,5.0,cash,none,2026-08-29T20:32:27Z,True
TKT_20260829_1000_0026,1000,998,20726,21572,Corporation,MG Road,3,6,1.756,5.0,1,5.0,cash,none,2026-08-29T20:31:56Z,True
TKT_20260829_1000_0027,1000,998,20726,21173,Corporation,Shivajinagara Bus Station,3,7,2.376,10.0,2,20.0,upi,none,2026-08-29T20:31:29Z,True
TKT_20260829_1000_0028,1000,998,20726,21173,Corporation,Shivajinagara Bus Station,3,7,2.376,10.0,1,10.0,cash,none,2026-08-29T20:31:58Z,True
TKT_20260829_1000_0029,1000,998,20726,21173,Corporation,Shivajinagara Bus Station,3,7,2.376,10.0,2,20.0,cash,none,2026-08-29T20:31:20Z,True
TKT_20260829_1000_0030,1000,998,22317,21572,Museum,MG Road,4,6,0.808,5.0,1,5.0,cash,none,2026-08-29T20:37:16Z,True
TKT_20260829_1000_0031,1000,998,22317,21572,Museum,MG Road,4,6,0.808,5.0,1,5.0,cash,none,2026-08-29T20:37:34Z,True
TKT_20260829_1000_0032,1000,998,22317,21173,Museum,Shivajinagara Bus Station,4,7,1.428,5.0,2,10.0,cash,none,2026-08-29T20:37:26Z,True
TKT_20260829_1000_0033,1000,998,22317,21173,Museum,Shivajinagara Bus Station,4,7,1.428,5.0,1,5.0,cash,none,2026-08-29T20:37:21Z,True
TKT_20260829_1000_0034,1000,998,22286,21173,MG Statue (Chinnaswamy Stadium),Shivajinagara Bus Station,5,7,1.03,5.0,1,5.0,cash,none,2026-08-29T20:38:24Z,True
TKT_20260829_1000_0035,1000,998,22286,21173,MG Statue (Chinnaswamy Stadium),Shivajinagara Bus Station,5,7,1.03,0.0,1,0.0,pass_card,daily_pass,2026-08-29T20:40:19Z,True
TKT_20260829_1000_0036,1000,998,22286,21173,MG Statue (Chinnaswamy Stadium),Shivajinagara Bus Station,5,7,1.03,5.0,1,5.0,cash,none,2026-08-29T20:39:40Z,True
TKT_20260829_1000_0037,1000,998,21572,21173,MG Road,Shivajinagara Bus Station,6,7,0.62,5.0,1,5.0,cash,none,2026-08-29T20:42:12Z,True
TKT_20260829_1000_0038,1000,998,21572,21173,MG Road,Shivajinagara Bus Station,6,7,0.62,5.0,2,10.0,upi,none,2026-08-29T20:41:33Z,True
TKT_20260829_1000_0039,1000,998,21572,21173,MG Road,Shivajinagara Bus Station,6,7,0.62,5.0,1,5.0,cash,none,2026-08-29T20:41:05Z,True
TKT_20260829_1000_0040,1000,998,21572,21173,MG Road,Shivajinagara Bus Station,6,7,0.62,5.0,2,10.0,cash,none,2026-08-29T20:41:12Z,True
TKT_20260829_1000_0041,1000,998,21572,21173,MG Road,Shivajinagara Bus Station,6,7,0.62,5.0,1,5.0,cash,none,2026-08-29T20:41:27Z,True
TKT_20260829_1000_0042,1000,998,21572,21173,MG Road,Shivajinagara Bus Station,6,7,0.62,5.0,1,5.0,upi,none,2026-08-29T20:41:10Z,True
TKT_20260829_10000_0001,10000,1324,21172,22378,Shivajinagara Bus Station,Periyar Nagara Circle,1,9,4.817,15.0,1,15.0,cash,none,2026-08-29T08:34:54Z,True
TKT_20260829_10000_0002,10000,1324,21172,22172,Shivajinagara Bus Station,Kadugondanahalli Railway Gate,1,14,6.927,18.0,1,18.0,upi,none,2026-08-29T08:35:55Z,True
TKT_20260829_10000_0003,10000,1324,21172,22383,Shivajinagara Bus Station,Nagavara Junction Petrol Bunk,1,20,8.79,18.0,1,18.0,cash,none,2026-08-29T08:34:12Z,True
TKT_20260829_10000_0004,10000,1324,22068,21859,Indian Express,Coles Park,2,6,2.548,10.0,1,10.0,upi,none,2026-08-29T08:37:27Z,True
TKT_20260829_10000_0005,10000,1324,22068,21912,Indian Express,Doddy,2,7,3.516,0.0,1,0.0,pass_card,daily_pass,2026-08-29T08:37:26Z,True
TKT_20260829_10000_0006,10000,1324,22068,22596,Indian Express,Venkateshapura,2,12,5.087,15.0,1,15.0,cash,none,2026-08-29T08:37:58Z,True
TKT_20260829_10000_0007,10000,1324,22068,21656,Indian Express,Arebic College,2,15,6.781,18.0,1,18.0,cash,none,2026-08-29T08:37:07Z,True
TKT_20260829_10000_0008,10000,1324,22068,21656,Indian Express,Arebic College,2,15,6.781,18.0,1,18.0,cash,none,2026-08-29T08:38:28Z,True
TKT_20260829_10000_0009,10000,1324,22068,21777,Indian Express,Book Factory Thanisandra,2,25,10.57,20.0,1,20.0,upi,none,2026-08-29T08:36:55Z,True
TKT_20260829_10000_0010,10000,1324,22068,22366,Indian Express,Noor Nagara,2,29,12.617,20.0,1,20.0,cash,none,2026-08-29T08:38:47Z,True
TKT_20260829_10000_0011,10000,1324,22068,21847,Indian Express,Chokkanahalli Gate,2,30,13.147,20.0,1,20.0,upi,none,2026-08-29T08:37:49Z,True
TKT_20260829_10000_0012,10000,1324,21869,22172,Cunningham Road,Kadugondanahalli Railway Gate,3,14,5.759,15.0,1,15.0,cash,none,2026-08-29T08:40:56Z,True
TKT_20260829_10000_0013,10000,1324,21869,21976,Cunningham Road,Govindapura Cross,3,16,6.528,18.0,1,18.0,cash,none,2026-08-29T08:39:38Z,True
TKT_20260829_10000_0014,10000,1324,21869,35837,Cunningham Road,Nagawara Junction,3,19,7.395,18.0,1,18.0,cash,none,2026-08-29T08:39:10Z,True
TKT_20260829_10000_0015,10000,1324,22585,22135,Vasantha Nagara,Kadugondanahalli Police Station,4,13,4.593,15.0,1,15.0,cash,none,2026-08-29T08:42:21Z,True
TKT_20260829_10000_0016,10000,1324,22585,22125,Vasantha Nagara,K Narayanapura Cross,4,26,10.226,20.0,1,20.0,cash,none,2026-08-29T08:42:25Z,True
TKT_20260829_10000_0017,10000,1324,22585,22187,Vasantha Nagara,Koli Farm,4,28,10.86,20.0,1,20.0,upi,none,2026-08-29T08:43:27Z,True
TKT_20260829_10000_0018,10000,1324,22585,22366,Vasantha Nagara,Noor Nagara,4,29,11.535,0.0,1,0.0,pass_card,daily_pass,2026-08-29T08:42:15Z,True
TKT_20260829_10000_0019,10000,1324,21704,22378,Bamboo Bazar,Periyar Nagara Circle,5,9,2.183,10.0,1,10.0,cash,none,2026-08-29T08:47:16Z,True
TKT_20260829_10000_0020,10000,1324,21704,22401,Bamboo Bazar,Postal and Telecom Colony,5,11,2.78,10.0,1,10.0,cash,none,2026-08-29T08:47:19Z,True
TKT_20260829_10000_0021,10000,1324,21704,21656,Bamboo Bazar,Arebic College,5,15,4.785,15.0,1,15.0,upi,none,2026-08-29T08:46:44Z,True
TKT_20260829_10000_0022,10000,1324,21704,22326,Bamboo Bazar,Nagawara,5,18,5.616,15.0,1,15.0,cash,none,2026-08-29T08:47:02Z,True
TKT_20260829_10000_0023,10000,1324,21704,22540,Bamboo Bazar,Thanisandra,5,24,7.964,18.0,1,18.0,cash,none,2026-08-29T08:46:56Z,True
TKT_20260829_10000_0024,10000,1324,21704,22125,Bamboo Bazar,K Narayanapura Cross,5,26,9.312,18.0,1,18.0,cash,none,2026-08-29T08:46:52Z,True
TKT_20260829_10000_0025,10000,1324,21859,22318,Coles Park,Muslim Colony,6,10,1.931,5.0,1,5.0,cash,none,2026-08-29T08:48:33Z,True
TKT_20260829_10000_0026,10000,1324,21859,22401,Coles Park,Postal and Telecom Colony,6,11,2.228,10.0,1,10.0,cash,none,2026-08-29T08:48:27Z,True
TKT_20260829_10000_0027,10000,1324,21859,21656,Coles Park,Arebic College,6,15,4.233,0.0,1,0.0,pass_card,daily_pass,2026-08-29T08:49:28Z,True
TKT_20260829_10000_0028,10000,1324,21859,22326,Coles Park,Nagawara,6,18,5.064,15.0,1,15.0,cash,none,2026-08-29T08:49:38Z,True
TKT_20260829_10000_0029,10000,1324,21859,22600,Coles Park,Vidyasagara,6,21,6.108,18.0,1,18.0,upi,none,2026-08-29T08:48:45Z,True
TKT_20260829_10000_0030,10000,1324,21859,22461,Coles Park,Sarayipalya,6,22,6.344,18.0,1,18.0,upi,none,2026-08-29T08:49:12Z,True
TKT_20260829_10000_0031,10000,1324,21859,21777,Coles Park,Book Factory Thanisandra,6,25,8.022,18.0,1,18.0,cash,none,2026-08-29T08:49:09Z,True
TKT_20260829_10000_0032,10000,1324,21859,21739,Coles Park,Bellahalli Cross,6,34,12.454,20.0,1,20.0,cash,none,2026-08-29T08:49:17Z,True
TKT_20260829_10000_0033,10000,1324,21912,22172,Doddy,Kadugondanahalli Railway Gate,7,14,2.773,10.0,1,10.0,cash,none,2026-08-29T08:53:47Z,True
TKT_20260829_10000_0034,10000,1324,21912,35837,Doddy,Nagawara Junction,7,19,4.409,15.0,1,15.0,cash,none,2026-08-29T08:53:38Z,True
TKT_20260829_10000_0035,10000,1324,21912,21667,Doddy,Ashwath Nagara,7,23,6.03,0.0,1,0.0,pass_card,daily_pass,2026-08-29T08:53:51Z,True
TKT_20260829_10000_0036,10000,1324,21801,35837,Canara Bank Tannery Road,Nagawara Junction,8,19,4.013,0.0,1,0.0,pass_card,daily_pass,2026-08-29T08:54:29Z,True
TKT_20260829_10000_0037,10000,1324,21801,22540,Canara Bank Tannery Road,Thanisandra,8,24,6.048,18.0,1,18.0,upi,none,2026-08-29T08:55:45Z,True
TKT_20260829_10000_0038,10000,1324,21801,22429,Canara Bank Tannery Road,RK Hegde Nagara,8,27,7.768,0.0,1,0.0,pass_card,daily_pass,2026-08-29T08:54:19Z,True
TKT_20260829_10000_0039,10000,1324,22378,22172,Periyar Nagara Circle,Kadugondanahalli Railway Gate,9,14,2.11,10.0,1,10.0,cash,none,2026-08-29T08:55:50Z,True
TKT_20260829_10000_0040,10000,1324,22378,22172,Periyar Nagara Circle,Kadugondanahalli Railway Gate,9,14,2.11,10.0,1,10.0,cash,none,2026-08-29T08:55:35Z,True
TKT_20260829_10000_0041,10000,1324,22378,22172,Periyar Nagara Circle,Kadugondanahalli Railway Gate,9,14,2.11,10.0,1,10.0,cash,none,2026-08-29T08:56:27Z,True
TKT_20260829_10000_0042,10000,1324,22378,22326,Periyar Nagara Circle,Nagawara,9,18,3.433,10.0,1,10.0,upi,none,2026-08-29T08:57:10Z,True
TKT_20260829_10000_0043,10000,1324,22378,22461,Periyar Nagara Circle,Sarayipalya,9,22,4.713,15.0,1,15.0,cash,none,2026-08-29T08:56:55Z,True
TKT_20260829_10000_0044,10000,1324,22378,22540,Periyar Nagara Circle,Thanisandra,9,24,5.781,15.0,1,15.0,cash,none,2026-08-29T08:56:54Z,True
TKT_20260829_10000_0045,10000,1324,22318,21976,Muslim Colony,Govindapura Cross,10,16,2.579,10.0,1,10.0,upi,none,2026-08-29T08:56:54Z,True
TKT_20260829_10000_0046,10000,1324,22318,22326,Muslim Colony,Nagawara,10,18,3.133,10.0,1,10.0,upi,none,2026-08-29T08:57:04Z,True
TKT_20260829_10000_0047,10000,1324,22318,22383,Muslim Colony,Nagavara Junction Petrol Bunk,10,20,3.673,10.0,1,10.0,upi,none,2026-08-29T08:58:00Z,True
TKT_20260829_10000_0048,10000,1324,22318,22600,Muslim Colony,Vidyasagara,10,21,4.177,15.0,2,30.0,cash,none,2026-08-29T08:58:15Z,True
TKT_20260829_10000_0049,10000,1324,22318,22461,Muslim Colony,Sarayipalya,10,22,4.413,15.0,1,15.0,cash,none,2026-08-29T08:57:23Z,True
TKT_20260829_10000_0050,10000,1324,22318,21667,Muslim Colony,Ashwath Nagara,10,23,5.067,0.0,1,0.0,pass_card,daily_pass,2026-08-29T08:57:46Z,True
TKT_20260829_10000_0051,10000,1324,22318,22540,Muslim Colony,Thanisandra,10,24,5.481,15.0,1,15.0,upi,none,2026-08-29T08:57:32Z,True
TKT_20260829_10000_0052,10000,1324,22318,22556,Muslim Colony,Thirumenahalli Cross (KNS College),10,31,9.097,0.0,1,0.0,pass_card,daily_pass,2026-08-29T08:57:23Z,True
TKT_20260829_10000_0053,10000,1324,22401,21966,Postal and Telecom Colony,Glass Factory,11,17,2.487,10.0,1,10.0,cash,none,2026-08-29T08:59:31Z,True
TKT_20260829_10000_0054,10000,1324,22401,21966,Postal and Telecom Colony,Glass Factory,11,17,2.487,10.0,1,10.0,upi,none,2026-08-29T08:59:39Z,True
TKT_20260829_10000_0055,10000,1324,22401,22461,Postal and Telecom Colony,Sarayipalya,11,22,4.116,15.0,1,15.0,upi,none,2026-08-29T08:59:52Z,True
TKT_20260829_10000_0056,10000,1324,22401,22429,Postal and Telecom Colony,RK Hegde Nagara,11,27,6.904,18.0,1,18.0,cash,none,2026-08-29T08:58:55Z,True
TKT_20260829_10000_0057,10000,1324,22596,22326,Venkateshapura,Nagawara,12,18,2.525,10.0,1,10.0,cash,none,2026-08-29T09:00:31Z,True
TKT_20260829_10000_0058,10000,1324,22596,21667,Venkateshapura,Ashwath Nagara,12,23,4.459,15.0,1,15.0,upi,none,2026-08-29T09:00:12Z,True
TKT_20260829_10000_0059,10000,1324,22172,22088,Kadugondanahalli Railway Gate,Ittige Factory,14,35,9.349,18.0,1,18.0,cash,none,2026-08-29T09:05:16Z,True
TKT_20260829_10000_0060,10000,1324,22172,22182,Kadugondanahalli Railway Gate,Kogilu,14,37,10.761,0.0,1,0.0,pass_card,daily_pass,2026-08-29T09:06:09Z,True
TKT_20260829_10000_0061,10000,1324,22172,22645_PF3,Kadugondanahalli Railway Gate,Yelahanka Santhe Circle - Platform 3,14,42,13.164,0.0,1,0.0,pass_card,daily_pass,2026-08-29T09:06:14Z,True
TKT_20260829_10000_0062,10000,1324,21656,22461,Arebic College,Sarayipalya,15,22,2.111,10.0,1,10.0,cash,none,2026-08-29T09:08:24Z,True
