trip_id,route_id,start_stop,end_stop,start_sequence,end_sequence,affected_segments,num_segments,localization_score,estimated_revenue_gap_inr,confidence,total_passenger_gap,total_revenue_gap,total_estimated_loss,localization_confidence
10013,1324,21172,22645_PF3,1,41,"['1324_10013_1_21172_22068', '1324_10013_2_22068_21869', '1324_10013_3_21869_22585', '1324_10013_4_22585_21704', '1324_10013_5_21704_21859', '1324_10013_6_21859_21912', '1324_10013_7_21912_21801', '1324_10013_8_21801_22378', '1324_10013_9_22378_22318', '1324_10013_10_22318_22401', '1324_10013_11_22401_22596', '1324_10013_12_22596_22135', '1324_10013_13_22135_22172', '1324_10013_14_22172_21656', '1324_10013_15_21656_21976', '1324_10013_16_21976_21966', '1324_10013_17_21966_22326', '1324_10013_18_22326_35837', '1324_10013_19_35837_22383', '1324_10013_20_22383_22600', '1324_10013_21_22600_22461', '1324_10013_22_22461_21667', '1324_10013_23_21667_22540', '1324_10013_24_22540_21777', '1324_10013_25_21777_22125', '1324_10013_26_22125_22429', '1324_10013_27_22429_22187', '1324_10013_28_22187_22366', '1324_10013_29_22366_21847', '1324_10013_30_21847_22556', '1324_10013_31_22556_27778', '1324_10013_32_27778_38787', '1324_10013_33_38787_21739', '1324_10013_34_21739_22088', '1324_10013_35_22088_22514', '1324_10013_36_22514_22182', '1324_10013_37_22182_22458', '1324_10013_38_22458_22267', '1324_10013_39_22267_22185', '1324_10013_40_22185_22645_PF3', '1324_10013_41_22645_PF3_22645_PF3']",41,0.6835,433.13,0.786,0.0,433.13,433.13,0.786
10014,1324,21172,22645_PF3,1,41,"['1324_10014_1_21172_22068', '1324_10014_2_22068_21869', '1324_10014_3_21869_22585', '1324_10014_4_22585_21704', '1324_10014_5_21704_21859', '1324_10014_6_21859_21912', '1324_10014_7_21912_21801', '1324_10014_8_21801_22378', '1324_10014_9_22378_22318', '1324_10014_10_22318_22401', '1324_10014_11_22401_22596', '1324_10014_12_22596_22135', '1324_10014_13_22135_22172', '1324_10014_14_22172_21656', '1324_10014_15_21656_21976', '1324_10014_16_21976_21966', '1324_10014_17_21966_22326', '1324_10014_18_22326_35837', '1324_10014_19_35837_22383', '1324_10014_20_22383_22600', '1324_10014_21_22600_22461', '1324_10014_22_22461_21667', '1324_10014_23_21667_22540', '1324_10014_24_22540_21777', '1324_10014_25_21777_22125', '1324_10014_26_22125_22429', '1324_10014_27_22429_22187', '1324_10014_28_22187_22366', '1324_10014_29_22366_21847', '1324_10014_30_21847_22556', '1324_10014_31_22556_27778', '1324_10014_32_27778_38787', '1324_10014_33_38787_21739', '1324_10014_34_21739_22088', '1324_10014_35_22088_22514', '1324_10014_36_22514_22182', '1324_10014_37_22182_22458', '1324_10014_38_22458_22267', '1324_10014_39_22267_22185', '1324_10014_40_22185_22645_PF3', '1324_10014_41_22645_PF3_22645_PF3']",41,0.6918,520.13,0.7956,0.0,520.13,520.13,0.7956
10015,1324,21172,22645_PF3,1,41,"['1324_10015_1_21172_22068', '1324_10015_2_22068_21869', '1324_10015_3_21869_22585', '1324_10015_4_22585_21704', '1324_10015_5_21704_21859', '1324_10015_6_21859_21912', '1324_10015_7_21912_21801', '1324_10015_8_21801_22378', '1324_10015_9_22378_22318', '1324_10015_10_22318_22401', '1324_10015_11_22401_22596', '1324_10015_12_22596_22135', '1324_10015_13_22135_22172', '1324_10015_14_22172_21656', '1324_10015_15_21656_21976', '1324_10015_16_21976_21966', '1324_10015_17_21966_22326', '1324_10015_18_22326_35837', '1324_10015_19_35837_22383', '1324_10015_20_22383_22600', '1324_10015_21_22600_22461', '1324_10015_22_22461_21667', '1324_10015_23_21667_22540', '1324_10015_24_22540_21777', '1324_10015_25_21777_22125', '1324_10015_26_22125_22429', '1324_10015_27_22429_22187', '1324_10015_28_22187_22366', '1324_10015_29_22366_21847', '1324_10015_30_21847_22556', '1324_10015_31_22556_27778', '1324_10015_32_27778_38787', '1324_10015_33_38787_21739', '1324_10015_34_21739_22088', '1324_10015_35_22088_22514', '1324_10015_36_22514_22182', '1324_10015_37_22182_22458', '1324_10015_38_22458_22267', '1324_10015_39_22267_22185', '1324_10015_40_22185_22645_PF3', '1324_10015_41_22645_PF3_22645_PF3']",41,0.6497,453.13,0.7471,0.0,453.13,453.13,0.7471
10016,1324,21172,22645_PF3,1,41,"['1324_10016_1_21172_22068', '1324_10016_2_22068_21869', '1324_10016_3_21869_22585', '1324_10016_4_22585_21704', '1324_10016_5_21704_21859', '1324_10016_6_21859_21912', '1324_10016_7_21912_21801', '1324_10016_8_21801_22378', '1324_10016_9_22378_22318', '1324_10016_10_22318_22401', '1324_10016_11_22401_22596', '1324_10016_12_22596_22135', '1324_10016_13_22135_22172', '1324_10016_14_22172_21656', '1324_10016_15_21656_21976', '1324_10016_16_21976_21966', '1324_10016_17_21966_22326', '1324_10016_18_22326_35837', '1324_10016_19_35837_22383', '1324_10016_20_22383_22600', '1324_10016_21_22600_22461', '1324_10016_22_22461_21667', '1324_10016_23_21667_22540', '1324_10016_24_22540_21777', '1324_10016_25_21777_22125', '1324_10016_26_22125_22429', '1324_10016_27_22429_22187', '1324_10016_28_22187_22366', '1324_10016_29_22366_21847', '1324_10016_30_21847_22556', '1324_10016_31_22556_27778', '1324_10016_32_27778_38787', '1324_10016_33_38787_21739', '1324_10016_34_21739_22088', '1324_10016_35_22088_22514', '1324_10016_36_22514_22182', '1324_10016_37_22182_22458', '1324_10016_38_22458_22267', '1324_10016_39_22267_22185', '1324_10016_40_22185_22645_PF3', '1324_10016_41_22645_PF3_22645_PF3']",41,0.681,543.13,0.7832,0.0,543.13,543.13,0.7832
10017,1324,21172,22585,1,3,"['1324_10017_1_21172_22068', '1324_10017_2_22068_21869', '1324_10017_3_21869_22585']",3,0.5049,492.13,0.5807,0.0,492.13,492.13,0.5807
10018,1324,21172,22645_PF3,1,41,"['1324_10018_1_21172_22068', '1324_10018_2_22068_21869', '1324_10018_3_21869_22585', '1324_10018_4_22585_21704', '1324_10018_5_21704_21859', '1324_10018_6_21859_21912', '1324_10018_7_21912_21801', '1324_10018_8_21801_22378', '1324_10018_9_22378_22318', '1324_10018_10_22318_22401', '1324_10018_11_22401_22596', '1324_10018_12_22596_22135', '1324_10018_13_22135_22172', '1324_10018_14_22172_21656', '1324_10018_15_21656_21976', '1324_10018_16_21976_21966', '1324_10018_17_21966_22326', '1324_10018_18_22326_35837', '1324_10018_19_35837_22383', '1324_10018_20_22383_22600', '1324_10018_21_22600_22461', '1324_10018_22_22461_21667', '1324_10018_23_21667_22540', '1324_10018_24_22540_21777', '1324_10018_25_21777_22125', '1324_10018_26_22125_22429', '1324_10018_27_22429_22187', '1324_10018_28_22187_22366', '1324_10018_29_22366_21847', '1324_10018_30_21847_22556', '1324_10018_31_22556_27778', '1324_10018_32_27778_38787', '1324_10018_33_38787_21739', '1324_10018_34_21739_22088', '1324_10018_35_22088_22514', '1324_10018_36_22514_22182', '1324_10018_37_22182_22458', '1324_10018_38_22458_22267', '1324_10018_39_22267_22185', '1324_10018_40_22185_22645_PF3', '1324_10018_41_22645_PF3_22645_PF3']",41,0.9584,629.65,0.99,0.0,629.65,629.65,0.99
10019,1324,21172,22645_PF3,1,41,"['1324_10019_1_21172_22068', '1324_10019_2_22068_21869', '1324_10019_3_21869_22585', '1324_10019_4_22585_21704', '1324_10019_5_21704_21859', '1324_10019_6_21859_21912', '1324_10019_7_21912_21801', '1324_10019_8_21801_22378', '1324_10019_9_22378_22318', '1324_10019_10_22318_22401', '1324_10019_11_22401_22596', '1324_10019_12_22596_22135', '1324_10019_13_22135_22172', '1324_10019_14_22172_21656', '1324_10019_15_21656_21976', '1324_10019_16_21976_21966', '1324_10019_17_21966_22326', '1324_10019_18_22326_35837', '1324_10019_19_35837_22383', '1324_10019_20_22383_22600', '1324_10019_21_22600_22461', '1324_10019_22_22461_21667', '1324_10019_23_21667_22540', '1324_10019_24_22540_21777', '1324_10019_25_21777_22125', '1324_10019_26_22125_22429', '1324_10019_27_22429_22187', '1324_10019_28_22187_22366', '1324_10019_29_22366_21847', '1324_10019_30_21847_22556', '1324_10019_31_22556_27778', '1324_10019_32_27778_38787', '1324_10019_33_38787_21739', '1324_10019_34_21739_22088', '1324_10019_35_22088_22514', '1324_10019_36_22514_22182', '1324_10019_37_22182_22458', '1324_10019_38_22458_22267', '1324_10019_39_22267_22185', '1324_10019_40_22185_22645_PF3', '1324_10019_41_22645_PF3_22645_PF3']",41,0.9516,598.05,0.99,0.0,598.05,598.05,0.99
1002,998,20940,21173,1,6,"['998_1002_1_20940_21231', '998_1002_2_21231_20726', '998_1002_3_20726_22317', '998_1002_4_22317_22286', '998_1002_5_22286_21572', '998_1002_6_21572_21173']",6,1.0,324.01,0.99,0.0,324.01,324.01,0.99
1003,998,20940,21173,1,6,"['998_1003_1_20940_21231', '998_1003_2_21231_20726', '998_1003_3_20726_22317', '998_1003_4_22317_22286', '998_1003_5_22286_21572', '998_1003_6_21572_21173']",6,0.8411,134.01,0.9673,0.0,134.01,134.01,0.9673
10030,1324,21172,22645_PF3,1,41,"['1324_10030_1_21172_22068', '1324_10030_2_22068_21869', '1324_10030_3_21869_22585', '1324_10030_4_22585_21704', '1324_10030_5_21704_21859', '1324_10030_6_21859_21912', '1324_10030_7_21912_21801', '1324_10030_8_21801_22378', '1324_10030_9_22378_22318', '1324_10030_10_22318_22401', '1324_10030_11_22401_22596', '1324_10030_12_22596_22135', '1324_10030_13_22135_22172', '1324_10030_14_22172_21656', '1324_10030_15_21656_21976', '1324_10030_16_21976_21966', '1324_10030_17_21966_22326', '1324_10030_18_22326_35837', '1324_10030_19_35837_22383', '1324_10030_20_22383_22600', '1324_10030_21_22600_22461', '1324_10030_22_22461_21667', '1324_10030_23_21667_22540', '1324_10030_24_22540_21777', '1324_10030_25_21777_22125', '1324_10030_26_22125_22429', '1324_10030_27_22429_22187', '1324_10030_28_22187_22366', '1324_10030_29_22366_21847', '1324_10030_30_21847_22556', '1324_10030_31_22556_27778', '1324_10030_32_27778_38787', '1324_10030_33_38787_21739', '1324_10030_34_21739_22088', '1324_10030_35_22088_22514', '1324_10030_36_22514_22182', '1324_10030_37_22182_22458', '1324_10030_38_22458_22267', '1324_10030_39_22267_22185', '1324_10030_40_22185_22645_PF3', '1324_10030_41_22645_PF3_22645_PF3']",41,0.853,305.65,0.9809,0.0,305.65,305.65,0.9809
10039,1324,21172,22645_PF3,1,41,"['1324_10039_1_21172_22068', '1324_10039_2_22068_21869', '1324_10039_3_21869_22585', '1324_10039_4_22585_21704', '1324_10039_5_21704_21859', '1324_10039_6_21859_21912', '1324_10039_7_21912_21801', '1324_10039_8_21801_22378', '1324_10039_9_22378_22318', '1324_10039_10_22318_22401', '1324_10039_11_22401_22596', '1324_10039_12_22596_22135', '1324_10039_13_22135_22172', '1324_10039_14_22172_21656', '1324_10039_15_21656_21976', '1324_10039_16_21976_21966', '1324_10039_17_21966_22326', '1324_10039_18_22326_35837', '1324_10039_19_35837_22383', '1324_10039_20_22383_22600', '1324_10039_21_22600_22461', '1324_10039_22_22461_21667', '1324_10039_23_21667_22540', '1324_10039_24_22540_21777', '1324_10039_25_21777_22125', '1324_10039_26_22125_22429', '1324_10039_27_22429_22187', '1324_10039_28_22187_22366', '1324_10039_29_22366_21847', '1324_10039_30_21847_22556', '1324_10039_31_22556_27778', '1324_10039_32_27778_38787', '1324_10039_33_38787_21739', '1324_10039_34_21739_22088', '1324_10039_35_22088_22514', '1324_10039_36_22514_22182', '1324_10039_37_22182_22458', '1324_10039_38_22458_22267', '1324_10039_39_22267_22185', '1324_10039_40_22185_22645_PF3', '1324_10039_41_22645_PF3_22645_PF3']",41,0.8424,548.65,0.9688,0.0,548.65,548.65,0.9688
1004,998,20940,21173,1,6,"['998_1004_1_20940_21231', '998_1004_2_21231_20726', '998_1004_3_20726_22317', '998_1004_4_22317_22286', '998_1004_5_22286_21572', '998_1004_6_21572_21173']",6,0.867,149.01,0.99,0.0,149.01,149.01,0.99
10048,1324,21172,22645_PF3,1,41,"['1324_10048_1_21172_22068', '1324_10048_2_22068_21869', '1324_10048_3_21869_22585', '1324_10048_4_22585_21704', '1324_10048_5_21704_21859', '1324_10048_6_21859_21912', '1324_10048_7_21912_21801', '1324_10048_8_21801_22378', '1324_10048_9_22378_22318', '1324_10048_10_22318_22401', '1324_10048_11_22401_22596', '1324_10048_12_22596_22135', '1324_10048_13_22135_22172', '1324_10048_14_22172_21656', '1324_10048_15_21656_21976', '1324_10048_16_21976_21966', '1324_10048_17_21966_22326', '1324_10048_18_22326_35837', '1324_10048_19_35837_22383', '1324_10048_20_22383_22600', '1324_10048_21_22600_22461', '1324_10048_22_22461_21667', '1324_10048_23_21667_22540', '1324_10048_24_22540_21777', '1324_10048_25_21777_22125', '1324_10048_26_22125_22429', '1324_10048_27_22429_22187', '1324_10048_28_22187_22366', '1324_10048_29_22366_21847', '1324_10048_30_21847_22556', '1324_10048_31_22556_27778', '1324_10048_32_27778_38787', '1324_10048_33_38787_21739', '1324_10048_34_21739_22088', '1324_10048_35_22088_22514', '1324_10048_36_22514_22182', '1324_10048_37_22182_22458', '1324_10048_38_22458_22267', '1324_10048_39_22267_22185', '1324_10048_40_22185_22645_PF3', '1324_10048_41_22645_PF3_22645_PF3']",41,0.7956,503.65,0.915,0.0,503.65,503.65,0.915
1005,998,20940,21173,1,6,"['998_1005_1_20940_21231', '998_1005_2_21231_20726', '998_1005_3_20726_22317', '998_1005_4_22317_22286', '998_1005_5_22286_21572', '998_1005_6_21572_21173']",6,0.7558,199.01,0.8692,0.0,199.01,199.01,0.8692
10060,1324,21172,22378,1,8,"['1324_10060_1_21172_22068', '1324_10060_2_22068_21869', '1324_10060_3_21869_22585', '1324_10060_4_22585_21704', '1324_10060_5_21704_21859', '1324_10060_6_21859_21912', '1324_10060_7_21912_21801', '1324_10060_8_21801_22378']",8,0.4284,0.0,0.4927,0.0,0.0,0.0,0.4927
1007,999,21172_PF10,21520,1,2,"['999_1007_1_21172_PF10_20857', '999_1007_2_20857_21520']",2,0.5049,563.15,0.5807,0.0,563.15,563.15,0.5807
10073,1324,22088,22645_PF3,35,41,"['1324_10073_35_22088_22514', '1324_10073_36_22514_22182', '1324_10073_37_22182_22458', '1324_10073_38_22458_22267', '1324_10073_39_22267_22185', '1324_10073_40_22185_22645_PF3', '1324_10073_41_22645_PF3_22645_PF3']",7,0.5236,0.0,0.6022,0.0,0.0,0.0,0.6022
10075,1324,21172,22378,1,8,"['1324_10075_1_21172_22068', '1324_10075_2_22068_21869', '1324_10075_3_21869_22585', '1324_10075_4_22585_21704', '1324_10075_5_21704_21859', '1324_10075_6_21859_21912', '1324_10075_7_21912_21801', '1324_10075_8_21801_22378']",8,0.4916,0.0,0.5653,0.0,0.0,0.0,0.5653
10078,1324,21739,22645_PF3,34,41,"['1324_10078_34_21739_22088', '1324_10078_35_22088_22514', '1324_10078_36_22514_22182', '1324_10078_37_22182_22458', '1324_10078_38_22458_22267', '1324_10078_39_22267_22185', '1324_10078_40_22185_22645_PF3', '1324_10078_41_22645_PF3_22645_PF3']",8,0.4695,0.0,0.5399,0.0,0.0,0.0,0.5399
1008,999,21172_PF10,21193,1,4,"['999_1008_1_21172_PF10_20857', '999_1008_2_20857_21520', '999_1008_3_21520_21574', '999_1008_4_21574_21193']",4,0.5263,308.15,0.6053,0.0,308.15,308.15,0.6053
1009,999,20623_PF5,22211,20,27,"['999_1009_20_20623_PF5_21713', '999_1009_21_21713_22295', '999_1009_22_22295_35150', '999_1009_23_35150_22631', '999_1009_24_22631_20897', '999_1009_25_20897_21874', '999_1009_26_21874_22213', '999_1009_27_22213_22211']",8,0.4537,450.15,0.5217,0.0,450.15,450.15,0.5217
10093,1324,21172,22645_PF3,1,41,"['1324_10093_1_21172_22068', '1324_10093_2_22068_21869', '1324_10093_3_21869_22585', '1324_10093_4_22585_21704', '1324_10093_5_21704_21859', '1324_10093_6_21859_21912', '1324_10093_7_21912_21801', '1324_10093_8_21801_22378', '1324_10093_9_22378_22318', '1324_10093_10_22318_22401', '1324_10093_11_22401_22596', '1324_10093_12_22596_22135', '1324_10093_13_22135_22172', '1324_10093_14_22172_21656', '1324_10093_15_21656_21976', '1324_10093_16_21976_21966', '1324_10093_17_21966_22326', '1324_10093_18_22326_35837', '1324_10093_19_35837_22383', '1324_10093_20_22383_22600', '1324_10093_21_22600_22461', '1324_10093_22_22461_21667', '1324_10093_23_21667_22540', '1324_10093_24_22540_21777', '1324_10093_25_21777_22125', '1324_10093_26_22125_22429', '1324_10093_27_22429_22187', '1324_10093_28_22187_22366', '1324_10093_29_22366_21847', '1324_10093_30_21847_22556', '1324_10093_31_22556_27778', '1324_10093_32_27778_38787', '1324_10093_33_38787_21739', '1324_10093_34_21739_22088', '1324_10093_35_22088_22514', '1324_10093_36_22514_22182', '1324_10093_37_22182_22458', '1324_10093_38_22458_22267', '1324_10093_39_22267_22185', '1324_10093_40_22185_22645_PF3', '1324_10093_41_22645_PF3_22645_PF3']",41,0.7535,544.65,0.8666,0.0,544.65,544.65,0.8666
10095,1324,21172,22645_PF3,1,41,"['1324_10095_1_21172_22068', '1324_10095_2_22068_21869', '1324_10095_3_21869_22585', '1324_10095_4_22585_21704', '1324_10095_5_21704_21859', '1324_10095_6_21859_21912', '1324_10095_7_21912_21801', '1324_10095_8_21801_22378', '1324_10095_9_22378_22318', '1324_10095_10_22318_22401', '1324_10095_11_22401_22596', '1324_10095_12_22596_22135', '1324_10095_13_22135_22172', '1324_10095_14_22172_21656', '1324_10095_15_21656_21976', '1324_10095_16_21976_21966', '1324_10095_17_21966_22326', '1324_10095_18_22326_35837', '1324_10095_19_35837_22383', '1324_10095_20_22383_22600', '1324_10095_21_22600_22461', '1324_10095_22_22461_21667', '1324_10095_23_21667_22540', '1324_10095_24_22540_21777', '1324_10095_25_21777_22125', '1324_10095_26_22125_22429', '1324_10095_27_22429_22187', '1324_10095_28_22187_22366', '1324_10095_29_22366_21847', '1324_10095_30_21847_22556', '1324_10095_31_22556_27778', '1324_10095_32_27778_38787', '1324_10095_33_38787_21739', '1324_10095_34_21739_22088', '1324_10095_35_22088_22514', '1324_10095_36_22514_22182', '1324_10095_37_22182_22458', '1324_10095_38_22458_22267', '1324_10095_39_22267_22185', '1324_10095_40_22185_22645_PF3', '1324_10095_41_22645_PF3_22645_PF3']",41,0.7418,317.65,0.8531,0.0,317.65,317.65,0.8531
