trip_id,route_id,date,scheduled_start,total_passengers,total_revenue_inr,ticket_count,num_stops,cash_revenue_inr,upi_revenue_inr,pass_passenger_count,synthetic_flag
10095,1324,2026-08-29,21:40:00,39,476.0,38,42,400.0,76.0,3,True
10096,1324,2026-08-29,21:45:00,43,530.0,42,42,424.0,106.0,6,True
10097,1324,2026-08-29,21:50:00,26,328.0,25,42,247.0,81.0,0,True
10098,1324,2026-08-29,22:00:00,50,586.0,50,42,409.0,177.0,5,True
10099,1324,2026-08-29,04:10:00,16,185.0,15,38,165.0,20.0,2,True
101,991,2026-08-29,05:45:00,11,93.0,11,12,58.0,35.0,2,True
1010,999,2026-08-29,10:20:00,71,788.0,68,28,591.0,197.0,9,True
10100,1324,2026-08-29,04:20:00,19,289.0,19,38,162.0,127.0,1,True
10101,1324,2026-08-29,04:30:00,18,250.0,18,38,159.0,91.0,0,True
10102,1324,2026-08-29,04:35:00,22,283.0,22,38,187.0,96.0,1,True
10103,1324,2026-08-29,04:40:00,16,206.0,16,38,121.0,85.0,1,True
10104,1324,2026-08-29,04:45:00,20,227.0,20,38,207.0,20.0,3,True
10105,1324,2026-08-29,04:50:00,9,127.0,9,38,81.0,46.0,1,True
10106,1324,2026-08-29,05:00:00,19,255.0,19,38,225.0,30.0,1,True
10107,1324,2026-08-29,05:05:00,17,202.0,17,38,192.0,10.0,2,True
10108,1324,2026-08-29,05:50:00,19,225.0,19,38,147.0,78.0,4,True
10109,1324,2026-08-29,05:55:00,14,159.0,14,38,96.0,63.0,1,True
1011,999,2026-08-29,11:05:00,57,611.0,57,28,472.0,139.0,7,True
10110,1324,2026-08-29,06:00:00,66,834.0,66,38,606.0,228.0,4,True
10111,1324,2026-08-29,06:05:00,68,869.0,67,38,720.0,149.0,7,True
10112,1324,2026-08-29,06:10:00,64,813.0,62,38,500.0,313.0,5,True
10113,1324,2026-08-29,06:15:00,60,712.0,60,38,431.0,281.0,5,True
10114,1324,2026-08-29,06:20:00,69,894.0,69,38,685.0,209.0,8,True
10115,1324,2026-08-29,06:25:00,61,809.0,60,38,649.0,160.0,3,True
10116,1324,2026-08-29,06:30:00,66,890.0,65,38,601.0,289.0,3,True
10117,1324,2026-08-29,06:35:00,67,720.0,66,38,532.0,188.0,10,True
10118,1324,2026-08-29,06:40:00,63,804.0,63,38,521.0,283.0,7,True
10119,1324,2026-08-29,06:45:00,59,800.0,55,38,541.0,259.0,3,True
1012,999,2026-08-29,11:55:00,53,467.0,50,28,298.0,169.0,9,True
10120,1324,2026-08-29,06:50:00,72,912.0,68,38,639.0,273.0,5,True
10121,1324,2026-08-29,07:00:00,39,481.0,39,38,405.0,76.0,6,True
10122,1324,2026-08-29,07:05:00,67,814.0,67,38,480.0,334.0,7,True
10123,1324,2026-08-29,07:10:00,61,795.0,58,38,557.0,238.0,4,True
10124,1324,2026-08-29,07:20:00,62,747.0,60,38,420.0,327.0,11,True
10125,1324,2026-08-29,07:30:00,111,1439.0,110,38,935.0,504.0,4,True
10126,1324,2026-08-29,07:35:00,91,1236.0,91,38,768.0,468.0,9,True
10127,1324,2026-08-29,07:40:00,102,1304.0,98,38,915.0,389.0,7,True
10128,1324,2026-08-29,09:05:00,140,1717.0,130,38,1301.0,416.0,20,True
10129,1324,2026-08-29,09:15:00,118,1538.0,117,38,1021.0,517.0,10,True
1013,999,2026-08-29,13:40:00,46,544.0,46,28,428.0,116.0,2,True
10130,1324,2026-08-29,09:25:00,122,1553.0,119,38,1123.0,430.0,15,True
10131,1324,2026-08-29,09:30:00,125,1654.0,121,38,1184.0,470.0,7,True
10132,1324,2026-08-29,09:35:00,136,1656.0,131,38,1223.0,433.0,11,True
10133,1324,2026-08-29,09:40:00,125,1643.0,123,38,1035.0,608.0,11,True
10134,1324,2026-08-29,09:45:00,108,1405.0,107,38,1006.0,399.0,13,True
10135,1324,2026-08-29,09:50:00,116,1364.0,113,38,1017.0,347.0,15,True
10136,1324,2026-08-29,09:55:00,116,1421.0,113,38,995.0,426.0,10,True
10137,1324,2026-08-29,10:00:00,124,1424.0,122,38,1054.0,370.0,14,True
10138,1324,2026-08-29,10:05:00,120,1433.0,114,38,1014.0,419.0,19,True
10139,1324,2026-08-29,10:10:00,110,1314.0,104,38,1011.0,303.0,12,True
1014,999,2026-08-29,14:30:00,46,518.0,46,28,304.0,214.0,1,True
10140,1324,2026-08-29,10:15:00,116,1442.0,112,38,1062.0,380.0,8,True
10141,1324,2026-08-29,10:20:00,111,1299.0,106,38,942.0,357.0,14,True
10142,1324,2026-08-29,10:25:00,84,1041.0,81,38,830.0,211.0,9,True
10143,1324,2026-08-29,10:30:00,98,1222.0,98,38,943.0,279.0,13,True
10144,1324,2026-08-29,10:35:00,22,286.0,22,38,200.0,86.0,0,True
10145,1324,2026-08-29,10:45:00,14,187.0,14,38,116.0,71.0,1,True
10146,1324,2026-08-29,10:50:00,11,168.0,11,38,122.0,46.0,0,True
10147,1324,2026-08-29,11:00:00,54,711.0,53,38,450.0,261.0,3,True
10148,1324,2026-08-29,11:15:00,66,929.0,64,38,737.0,192.0,5,True
10149,1324,2026-08-29,11:20:00,66,831.0,65,38,563.0,268.0,10,True
1015,999,2026-08-29,15:05:00,70,736.0,66,28,473.0,263.0,8,True
10150,1324,2026-08-29,11:25:00,56,725.0,54,38,498.0,227.0,7,True
10151,1324,2026-08-29,11:30:00,64,674.0,64,38,438.0,236.0,12,True
10152,1324,2026-08-29,11:35:00,52,644.0,51,38,462.0,182.0,3,True
10153,1324,2026-08-29,11:40:00,40,496.0,39,38,395.0,101.0,5,True
10154,1324,2026-08-29,11:45:00,71,757.0,71,38,576.0,181.0,12,True
10155,1324,2026-08-29,11:50:00,52,754.0,52,38,542.0,212.0,2,True
10156,1324,2026-08-29,11:55:00,49,611.0,49,38,433.0,178.0,5,True
10157,1324,2026-08-29,12:00:00,63,816.0,63,38,554.0,262.0,7,True
10158,1324,2026-08-29,12:05:00,50,663.0,49,38,481.0,182.0,3,True
10159,1324,2026-08-29,12:10:00,52,747.0,52,38,578.0,169.0,3,True
1016,999,2026-08-29,15:55:00,54,625.0,53,28,376.0,249.0,4,True
10160,1324,2026-08-29,12:15:00,60,667.0,57,38,467.0,200.0,8,True
10161,1324,2026-08-29,12:20:00,60,665.0,59,38,476.0,189.0,7,True
10162,1324,2026-08-29,12:35:00,71,895.0,66,38,709.0,186.0,9,True
10163,1324,2026-08-29,12:50:00,53,581.0,53,38,430.0,151.0,5,True
10164,1324,2026-08-29,13:00:00,53,668.0,53,38,437.0,231.0,6,True
10165,1324,2026-08-29,13:05:00,52,604.0,50,38,432.0,172.0,5,True
10166,1324,2026-08-29,13:10:00,53,672.0,52,38,514.0,158.0,6,True
10167,1324,2026-08-29,13:15:00,43,527.0,42,38,363.0,164.0,2,True
10168,1324,2026-08-29,13:40:00,60,754.0,60,38,633.0,121.0,8,True
10169,1324,2026-08-29,13:45:00,50,586.0,49,38,356.0,230.0,6,True
1017,999,2026-08-29,16:25:00,63,607.0,63,28,451.0,156.0,9,True
10170,1324,2026-08-29,13:50:00,52,691.0,49,38,450.0,241.0,5,True
10171,1324,2026-08-29,14:05:00,63,785.0,62,38,553.0,232.0,5,True
10172,1324,2026-08-29,14:20:00,74,885.0,72,38,650.0,235.0,9,True
10173,1324,2026-08-29,14:35:00,60,702.0,60,38,482.0,220.0,5,True
10174,1324,2026-08-29,14:55:00,62,731.0,62,38,552.0,179.0,10,True
10175,1324,2026-08-29,15:05:00,59,685.0,58,38,487.0,198.0,8,True
10176,1324,2026-08-29,15:15:00,51,672.0,49,38,515.0,157.0,6,True
10177,1324,2026-08-29,15:20:00,53,606.0,53,38,386.0,220.0,7,True
