segment_id,route_id,trip_id,date,from_stop,to_stop,stop_sequence,distance_km,boardings,alightings,passenger_load,segment_revenue_inr,synthetic_flag
991_100_6_21008_20811,991,100,2026-08-29,21008,20811,6,0.453,0,1,3,3.33,True
991_100_7_20811_20752,991,100,2026-08-29,20811,20752,7,0.414,2,1,4,5.83,True
991_100_8_20752_20991,991,100,2026-08-29,20752,20991,8,0.487,0,1,3,4.17,True
991_100_9_20991_20971,991,100,2026-08-29,20991,20971,9,0.637,0,0,3,4.17,True
991_100_10_20971_20703,991,100,2026-08-29,20971,20703,10,0.535,1,2,2,7.5,True
991_100_11_20703_20921_PF5,991,100,2026-08-29,20703,20921_PF5,11,1.334,0,2,0,0.0,True
998_1000_1_20940_21231,998,1000,2026-08-29,20940,21231,1,0.583,16,0,16,36.0,True
998_1000_2_21231_20726,998,1000,2026-08-29,21231,20726,2,0.729,10,0,26,62.33,True
998_1000_3_20726_22317,998,1000,2026-08-29,20726,22317,3,0.948,10,2,34,75.67,True
998_1000_4_22317_22286,998,1000,2026-08-29,22317,22286,4,0.398,5,9,30,64.0,True
998_1000_5_22286_21572,998,1000,2026-08-29,22286,21572,5,0.41,3,7,26,53.17,True
998_1000_6_21572_21173,998,1000,2026-08-29,21572,21173,6,0.62,8,9,25,73.83,True
1324_10000_1_21172_22068,1324,10000,2026-08-29,21172,22068,1,0.638,3,0,3,4.21,True
1324_10000_2_22068_21869,1324,10000,2026-08-29,22068,21869,2,0.53,8,0,11,13.3,True
1324_10000_3_21869_22585,1324,10000,2026-08-29,21869,22585,3,0.552,3,0,14,17.17,True
1324_10000_4_22585_21704,1324,10000,2026-08-29,22585,21704,4,0.914,4,0,18,20.58,True
1324_10000_5_21704_21859,1324,10000,2026-08-29,21704,21859,5,0.552,6,0,24,29.21,True
1324_10000_6_21859_21912,1324,10000,2026-08-29,21859,21912,6,0.968,8,1,31,35.19,True
1324_10000_7_21912_21801,1324,10000,2026-08-29,21912,21801,7,0.396,3,1,33,37.87,True
1324_10000_8_21801_22378,1324,10000,2026-08-29,21801,22378,8,0.267,3,0,36,39.0,True
1324_10000_9_22378_22318,1324,10000,2026-08-29,22378,22318,9,0.3,6,2,40,43.89,True
1324_10000_10_22318_22401,1324,10000,2026-08-29,22318,22401,10,0.297,9,1,48,51.6,True
1324_10000_11_22401_22596,1324,10000,2026-08-29,22401,22596,11,0.311,4,2,50,53.76,True
1324_10000_12_22596_22135,1324,10000,2026-08-29,22596,22135,12,0.588,2,1,51,55.29,True
1324_10000_13_22135_22172,1324,10000,2026-08-29,22135,22172,13,0.614,0,1,50,53.62,True
1324_10000_14_22172_21656,1324,10000,2026-08-29,22172,21656,14,0.492,3,6,47,44.3,True
1324_10000_15_21656_21976,1324,10000,2026-08-29,21656,21976,15,0.277,2,4,45,41.46,True
1324_10000_16_21976_21966,1324,10000,2026-08-29,21976,21966,16,0.205,5,2,48,42.72,True
1324_10000_17_21966_22326,1324,10000,2026-08-29,21966,22326,17,0.349,2,2,48,42.48,True
1324_10000_18_22326_35837,1324,10000,2026-08-29,22326,35837,18,0.313,4,5,47,40.74,True
1324_10000_19_35837_22383,1324,10000,2026-08-29,35837,22383,19,0.227,5,3,49,44.71,True
1324_10000_20_22383_22600,1324,10000,2026-08-29,22383,22600,20,0.504,4,2,51,47.43,True
1324_10000_21_22600_22461,1324,10000,2026-08-29,22600,22461,21,0.236,2,4,49,43.78,True
1324_10000_22_22461_21667,1324,10000,2026-08-29,22461,21667,22,0.654,5,5,49,45.67,True
1324_10000_23_21667_22540,1324,10000,2026-08-29,21667,22540,23,0.414,4,5,48,49.18,True
1324_10000_24_22540_21777,1324,10000,2026-08-29,22540,21777,24,0.61,4,6,46,47.98,True
1324_10000_25_21777_22125,1324,10000,2026-08-29,21777,22125,25,0.738,1,3,44,46.25,True
1324_10000_26_22125_22429,1324,10000,2026-08-29,22125,22429,26,0.372,1,3,42,43.49,True
1324_10000_27_22429_22187,1324,10000,2026-08-29,22429,22187,27,0.262,6,3,45,51.97,True
1324_10000_28_22187_22366,1324,10000,2026-08-29,22187,22366,28,0.675,2,3,44,52.22,True
1324_10000_29_22366_21847,1324,10000,2026-08-29,22366,21847,29,0.53,2,5,41,51.41,True
1324_10000_30_21847_22556,1324,10000,2026-08-29,21847,22556,30,0.429,3,5,39,47.5,True
1324_10000_31_22556_27778,1324,10000,2026-08-29,22556,27778,31,0.814,3,7,35,45.37,True
1324_10000_32_27778_38787,1324,10000,2026-08-29,27778,38787,32,0.159,6,5,36,45.49,True
1324_10000_33_38787_21739,1324,10000,2026-08-29,38787,21739,33,0.453,1,5,32,41.33,True
1324_10000_34_21739_22088,1324,10000,2026-08-29,21739,22088,34,0.636,4,5,31,43.17,True
1324_10000_35_22088_22514,1324,10000,2026-08-29,22088,22514,35,0.618,0,4,27,36.86,True
1324_10000_36_22514_22182,1324,10000,2026-08-29,22514,22182,36,0.794,2,5,24,33.06,True
1324_10000_37_22182_22458,1324,10000,2026-08-29,22182,22458,37,0.626,3,2,25,37.06,True
1324_10000_38_22458_22267,1324,10000,2026-08-29,22458,22267,38,0.456,0,4,21,32.14,True
1324_10000_39_22267_22185,1324,10000,2026-08-29,22267,22185,39,0.576,1,3,19,27.14,True
1324_10000_40_22185_22645_PF3,1324,10000,2026-08-29,22185,22645_PF3,40,0.745,3,6,16,31.32,True
1324_10000_41_22645_PF3_22645_PF3,1324,10000,2026-08-29,22645_PF3,22645_PF3,41,0.0,0,16,0,13.04,True
1324_10001_1_21172_22068,1324,10001,2026-08-29,21172,22068,1,0.638,5,0,5,4.99,True
1324_10001_2_22068_21869,1324,10001,2026-08-29,22068,21869,2,0.53,7,0,12,12.86,True
1324_10001_3_21869_22585,1324,10001,2026-08-29,21869,22585,3,0.552,8,0,20,23.76,True
1324_10001_4_22585_21704,1324,10001,2026-08-29,22585,21704,4,0.914,4,0,24,29.5,True
1324_10001_5_21704_21859,1324,10001,2026-08-29,21704,21859,5,0.552,4,2,26,30.74,True
1324_10001_6_21859_21912,1324,10001,2026-08-29,21859,21912,6,0.968,3,0,29,34.73,True
1324_10001_7_21912_21801,1324,10001,2026-08-29,21912,21801,7,0.396,4,1,32,38.45,True
1324_10001_8_21801_22378,1324,10001,2026-08-29,21801,22378,8,0.267,5,1,36,41.15,True
1324_10001_9_22378_22318,1324,10001,2026-08-29,22378,22318,9,0.3,3,2,37,41.84,True
1324_10001_10_22318_22401,1324,10001,2026-08-29,22318,22401,10,0.297,3,1,39,44.29,True
1324_10001_11_22401_22596,1324,10001,2026-08-29,22401,22596,11,0.311,7,2,44,48.53,True
1324_10001_12_22596_22135,1324,10001,2026-08-29,22596,22135,12,0.588,1,3,42,46.66,True
1324_10001_13_22135_22172,1324,10001,2026-08-29,22135,22172,13,0.614,3,4,41,44.64,True
1324_10001_14_22172_21656,1324,10001,2026-08-29,22172,21656,14,0.492,5,1,45,47.53,True
1324_10001_15_21656_21976,1324,10001,2026-08-29,21656,21976,15,0.277,2,4,43,45.13,True
1324_10001_16_21976_21966,1324,10001,2026-08-29,21976,21966,16,0.205,1,1,43,44.93,True
1324_10001_17_21966_22326,1324,10001,2026-08-29,21966,22326,17,0.349,2,4,41,41.58,True
1324_10001_18_22326_35837,1324,10001,2026-08-29,22326,35837,18,0.313,6,4,43,45.37,True
1324_10001_19_35837_22383,1324,10001,2026-08-29,35837,22383,19,0.227,0,5,38,39.25,True
1324_10001_20_22383_22600,1324,10001,2026-08-29,22383,22600,20,0.504,2,3,37,40.04,True
1324_10001_21_22600_22461,1324,10001,2026-08-29,22600,22461,21,0.236,1,7,31,33.4,True
1324_10001_22_22461_21667,1324,10001,2026-08-29,22461,21667,22,0.654,2,5,28,29.0,True
1324_10001_23_21667_22540,1324,10001,2026-08-29,21667,22540,23,0.414,4,4,28,36.07,True
1324_10001_24_22540_21777,1324,10001,2026-08-29,22540,21777,24,0.61,2,5,25,27.42,True
1324_10001_25_21777_22125,1324,10001,2026-08-29,21777,22125,25,0.738,4,3,26,28.29,True
1324_10001_26_22125_22429,1324,10001,2026-08-29,22125,22429,26,0.372,4,3,27,29.45,True
1324_10001_27_22429_22187,1324,10001,2026-08-29,22429,22187,27,0.262,5,2,30,34.38,True
1324_10001_28_22187_22366,1324,10001,2026-08-29,22187,22366,28,0.675,0,3,27,30.28,True
1324_10001_29_22366_21847,1324,10001,2026-08-29,22366,21847,29,0.53,5,0,32,37.9,True
1324_10001_30_21847_22556,1324,10001,2026-08-29,21847,22556,30,0.429,3,1,34,41.61,True
1324_10001_31_22556_27778,1324,10001,2026-08-29,22556,27778,31,0.814,1,2,33,41.85,True
1324_10001_32_27778_38787,1324,10001,2026-08-29,27778,38787,32,0.159,4,5,32,41.93,True
1324_10001_33_38787_21739,1324,10001,2026-08-29,38787,21739,33,0.453,4,4,32,43.39,True
1324_10001_34_21739_22088,1324,10001,2026-08-29,21739,22088,34,0.636,1,3,30,41.67,True
1324_10001_35_22088_22514,1324,10001,2026-08-29,22088,22514,35,0.618,5,3,32,47.19,True
1324_10001_36_22514_22182,1324,10001,2026-08-29,22514,22182,36,0.794,2,3,31,49.37,True
1324_10001_37_22182_22458,1324,10001,2026-08-29,22182,22458,37,0.626,2,4,29,48.08,True
1324_10001_38_22458_22267,1324,10001,2026-08-29,22458,22267,38,0.456,5,2,32,52.83,True
1324_10001_39_22267_22185,1324,10001,2026-08-29,22267,22185,39,0.576,0,6,26,44.29,True
1324_10001_40_22185_22645_PF3,1324,10001,2026-08-29,22185,22645_PF3,40,0.745,0,8,18,27.94,True
1324_10001_41_22645_PF3_22645_PF3,1324,10001,2026-08-29,22645_PF3,22645_PF3,41,0.0,0,18,0,12.73,True
1324_10002_1_21172_22068,1324,10002,2026-08-29,21172,22068,1,0.638,5,0,5,5.57,True
1324_10002_2_22068_21869,1324,10002,2026-08-29,22068,21869,2,0.53,4,0,9,9.67,True
1324_10002_3_21869_22585,1324,10002,2026-08-29,21869,22585,3,0.552,6,0,15,14.5,True
1324_10002_4_22585_21704,1324,10002,2026-08-29,22585,21704,4,0.914,3,0,18,19.26,True
1324_10002_5_21704_21859,1324,10002,2026-08-29,21704,21859,5,0.552,4,0,22,24.42,True
1324_10002_6_21859_21912,1324,10002,2026-08-29,21859,21912,6,0.968,3,0,25,29.15,True
1324_10002_7_21912_21801,1324,10002,2026-08-29,21912,21801,7,0.396,2,1,26,30.58,True
1324_10002_8_21801_22378,1324,10002,2026-08-29,21801,22378,8,0.267,7,1,32,36.27,True
1324_10002_9_22378_22318,1324,10002,2026-08-29,22378,22318,9,0.3,5,2,35,37.4,True
1324_10002_10_22318_22401,1324,10002,2026-08-29,22318,22401,10,0.297,3,3,35,35.34,True
1324_10002_11_22401_22596,1324,10002,2026-08-29,22401,22596,11,0.311,4,4,35,35.33,True
1324_10002_12_22596_22135,1324,10002,2026-08-29,22596,22135,12,0.588,4,0,39,39.39,True
1324_10002_13_22135_22172,1324,10002,2026-08-29,22135,22172,13,0.614,5,2,42,42.34,True
1324_10002_14_22172_21656,1324,10002,2026-08-29,22172,21656,14,0.492,7,1,48,46.54,True
1324_10002_15_21656_21976,1324,10002,2026-08-29,21656,21976,15,0.277,7,4,51,49.65,True
1324_10002_16_21976_21966,1324,10002,2026-08-29,21976,21966,16,0.205,3,2,52,50.17,True
1324_10002_17_21966_22326,1324,10002,2026-08-29,21966,22326,17,0.349,2,2,52,49.21,True
1324_10002_18_22326_35837,1324,10002,2026-08-29,22326,35837,18,0.313,3,2,53,49.79,True
1324_10002_19_35837_22383,1324,10002,2026-08-29,35837,22383,19,0.227,3,3,53,47.1,True
1324_10002_20_22383_22600,1324,10002,2026-08-29,22383,22600,20,0.504,3,7,49,46.35,True
1324_10002_21_22600_22461,1324,10002,2026-08-29,22600,22461,21,0.236,4,1,52,51.21,True
1324_10002_22_22461_21667,1324,10002,2026-08-29,22461,21667,22,0.654,3,6,49,49.38,True
1324_10002_23_21667_22540,1324,10002,2026-08-29,21667,22540,23,0.414,2,6,45,45.88,True
1324_10002_24_22540_21777,1324,10002,2026-08-29,22540,21777,24,0.61,2,2,45,49.38,True
1324_10002_25_21777_22125,1324,10002,2026-08-29,21777,22125,25,0.738,2,1,46,50.76,True
1324_10002_26_22125_22429,1324,10002,2026-08-29,22125,22429,26,0.372,1,4,43,44.86,True
1324_10002_27_22429_22187,1324,10002,2026-08-29,22429,22187,27,0.262,1,1,43,45.34,True
1324_10002_28_22187_22366,1324,10002,2026-08-29,22187,22366,28,0.675,4,4,43,45.22,True
1324_10002_29_22366_21847,1324,10002,2026-08-29,22366,21847,29,0.53,2,6,39,40.52,True
1324_10002_30_21847_22556,1324,10002,2026-08-29,21847,22556,30,0.429,2,4,37,40.21,True
1324_10002_31_22556_27778,1324,10002,2026-08-29,22556,27778,31,0.814,3,4,36,40.54,True
1324_10002_32_27778_38787,1324,10002,2026-08-29,27778,38787,32,0.159,4,9,31,37.9,True
1324_10002_33_38787_21739,1324,10002,2026-08-29,38787,21739,33,0.453,1,2,30,37.28,True
1324_10002_34_21739_22088,1324,10002,2026-08-29,21739,22088,34,0.636,4,4,30,41.45,True
1324_10002_35_22088_22514,1324,10002,2026-08-29,22088,22514,35,0.618,4,3,31,49.59,True
1324_10002_36_22514_22182,1324,10002,2026-08-29,22514,22182,36,0.794,2,6,27,46.5,True
1324_10002_37_22182_22458,1324,10002,2026-08-29,22182,22458,37,0.626,2,6,23,41.3,True
1324_10002_38_22458_22267,1324,10002,2026-08-29,22458,22267,38,0.456,0,3,20,35.35,True
1324_10002_39_22267_22185,1324,10002,2026-08-29,22267,22185,39,0.576,4,2,22,39.92,True
1324_10002_40_22185_22645_PF3,1324,10002,2026-08-29,22185,22645_PF3,40,0.745,1,10,13,24.47,True
1324_10002_41_22645_PF3_22645_PF3,1324,10002,2026-08-29,22645_PF3,22645_PF3,41,0.0,0,13,0,12.92,True
1324_10003_1_21172_22068,1324,10003,2026-08-29,21172,22068,1,0.638,6,0,6,9.77,True
1324_10003_2_22068_21869,1324,10003,2026-08-29,22068,21869,2,0.53,10,0,16,23.71,True
1324_10003_3_21869_22585,1324,10003,2026-08-29,21869,22585,3,0.552,5,1,20,28.54,True
1324_10003_4_22585_21704,1324,10003,2026-08-29,22585,21704,4,0.914,3,1,22,30.37,True
1324_10003_5_21704_21859,1324,10003,2026-08-29,21704,21859,5,0.552,3,1,24,32.28,True
1324_10003_6_21859_21912,1324,10003,2026-08-29,21859,21912,6,0.968,3,1,26,33.66,True
1324_10003_7_21912_21801,1324,10003,2026-08-29,21912,21801,7,0.396,0,1,25,31.16,True
1324_10003_8_21801_22378,1324,10003,2026-08-29,21801,22378,8,0.267,4,1,28,32.29,True
1324_10003_9_22378_22318,1324,10003,2026-08-29,22378,22318,9,0.3,6,4,30,31.81,True
1324_10003_10_22318_22401,1324,10003,2026-08-29,22318,22401,10,0.297,6,0,36,37.11,True
1324_10003_11_22401_22596,1324,10003,2026-08-29,22401,22596,11,0.311,1,2,35,37.11,True
1324_10003_12_22596_22135,1324,10003,2026-08-29,22596,22135,12,0.588,5,3,37,37.91,True
1324_10003_13_22135_22172,1324,10003,2026-08-29,22135,22172,13,0.614,2,0,39,39.06,True
1324_10003_14_22172_21656,1324,10003,2026-08-29,22172,21656,14,0.492,8,2,45,43.03,True
1324_10003_15_21656_21976,1324,10003,2026-08-29,21656,21976,15,0.277,2,2,45,41.95,True
1324_10003_16_21976_21966,1324,10003,2026-08-29,21976,21966,16,0.205,5,3,47,41.47,True
1324_10003_17_21966_22326,1324,10003,2026-08-29,21966,22326,17,0.349,3,3,47,39.71,True
1324_10003_18_22326_35837,1324,10003,2026-08-29,22326,35837,18,0.313,5,4,48,42.13,True
1324_10003_19_35837_22383,1324,10003,2026-08-29,35837,22383,19,0.227,3,4,47,42.85,True
1324_10003_20_22383_22600,1324,10003,2026-08-29,22383,22600,20,0.504,5,2,50,45.56,True
1324_10003_21_22600_22461,1324,10003,2026-08-29,22600,22461,21,0.236,2,2,50,45.81,True
1324_10003_22_22461_21667,1324,10003,2026-08-29,22461,21667,22,0.654,6,2,54,52.31,True
1324_10003_23_21667_22540,1324,10003,2026-08-29,21667,22540,23,0.414,3,3,54,53.74,True
1324_10003_24_22540_21777,1324,10003,2026-08-29,22540,21777,24,0.61,4,6,52,49.75,True
1324_10003_25_21777_22125,1324,10003,2026-08-29,21777,22125,25,0.738,5,2,55,57.35,True
1324_10003_26_22125_22429,1324,10003,2026-08-29,22125,22429,26,0.372,9,3,61,68.27,True
1324_10003_27_22429_22187,1324,10003,2026-08-29,22429,22187,27,0.262,1,5,57,63.28,True
1324_10003_28_22187_22366,1324,10003,2026-08-29,22187,22366,28,0.675,1,7,51,56.59,True
1324_10003_29_22366_21847,1324,10003,2026-08-29,22366,21847,29,0.53,1,2,50,55.22,True
1324_10003_30_21847_22556,1324,10003,2026-08-29,21847,22556,30,0.429,1,5,46,51.59,True
1324_10003_31_22556_27778,1324,10003,2026-08-29,22556,27778,31,0.814,3,5,44,51.47,True
1324_10003_32_27778_38787,1324,10003,2026-08-29,27778,38787,32,0.159,6,7,43,51.69,True
1324_10003_33_38787_21739,1324,10003,2026-08-29,38787,21739,33,0.453,4,2,45,58.43,True
1324_10003_34_21739_22088,1324,10003,2026-08-29,21739,22088,34,0.636,1,6,40,51.37,True
1324_10003_35_22088_22514,1324,10003,2026-08-29,22088,22514,35,0.618,2,4,38,49.96,True
1324_10003_36_22514_22182,1324,10003,2026-08-29,22514,22182,36,0.794,2,5,35,45.98,True
1324_10003_37_22182_22458,1324,10003,2026-08-29,22182,22458,37,0.626,2,5,32,42.47,True
1324_10003_38_22458_22267,1324,10003,2026-08-29,22458,22267,38,0.456,0,8,24,33.43,True
1324_10003_39_22267_22185,1324,10003,2026-08-29,22267,22185,39,0.576,1,7,18,27.42,True
1324_10003_40_22185_22645_PF3,1324,10003,2026-08-29,22185,22645_PF3,40,0.745,0,4,14,19.73,True
1324_10003_41_22645_PF3_22645_PF3,1324,10003,2026-08-29,22645_PF3,22645_PF3,41,0.0,0,14,0,7.68,True
1324_10004_1_21172_22068,1324,10004,2026-08-29,21172,22068,1,0.638,6,0,6,7.28,True
1324_10004_2_22068_21869,1324,10004,2026-08-29,22068,21869,2,0.53,4,0,10,12.61,True
1324_10004_3_21869_22585,1324,10004,2026-08-29,21869,22585,3,0.552,5,0,15,22.94,True
1324_10004_4_22585_21704,1324,10004,2026-08-29,22585,21704,4,0.914,9,0,24,33.54,True
1324_10004_5_21704_21859,1324,10004,2026-08-29,21704,21859,5,0.552,6,0,30,39.78,True
1324_10004_6_21859_21912,1324,10004,2026-08-29,21859,21912,6,0.968,10,2,38,45.94,True
1324_10004_7_21912_21801,1324,10004,2026-08-29,21912,21801,7,0.396,4,1,41,47.52,True
1324_10004_8_21801_22378,1324,10004,2026-08-29,21801,22378,8,0.267,4,1,44,48.73,True
1324_10004_9_22378_22318,1324,10004,2026-08-29,22378,22318,9,0.3,4,0,48,52.42,True
1324_10004_10_22318_22401,1324,10004,2026-08-29,22318,22401,10,0.297,2,1,49,53.22,True
1324_10004_11_22401_22596,1324,10004,2026-08-29,22401,22596,11,0.311,3,1,51,54.51,True
1324_10004_12_22596_22135,1324,10004,2026-08-29,22596,22135,12,0.588,4,2,53,56.06,True
1324_10004_13_22135_22172,1324,10004,2026-08-29,22135,22172,13,0.614,1,4,50,50.04,True
1324_10004_14_22172_21656,1324,10004,2026-08-29,22172,21656,14,0.492,7,2,55,52.95,True
1324_10004_15_21656_21976,1324,10004,2026-08-29,21656,21976,15,0.277,2,5,52,47.56,True
1324_10004_16_21976_21966,1324,10004,2026-08-29,21976,21966,16,0.205,2,2,52,47.08,True
1324_10004_17_21966_22326,1324,10004,2026-08-29,21966,22326,17,0.349,5,2,55,49.98,True
1324_10004_18_22326_35837,1324,10004,2026-08-29,22326,35837,18,0.313,1,3,53,47.36,True
1324_10004_19_35837_22383,1324,10004,2026-08-29,35837,22383,19,0.227,6,2,57,52.86,True
1324_10004_20_22383_22600,1324,10004,2026-08-29,22383,22600,20,0.504,4,3,58,54.67,True
1324_10004_21_22600_22461,1324,10004,2026-08-29,22600,22461,21,0.236,1,9,50,44.84,True
1324_10004_22_22461_21667,1324,10004,2026-08-29,22461,21667,22,0.654,4,10,44,38.59,True
1324_10004_23_21667_22540,1324,10004,2026-08-29,21667,22540,23,0.414,4,2,46,42.5,True
1324_10004_24_22540_21777,1324,10004,2026-08-29,22540,21777,24,0.61,4,7,43,42.49,True
1324_10004_25_21777_22125,1324,10004,2026-08-29,21777,22125,25,0.738,4,8,39,39.97,True
1324_10004_26_22125_22429,1324,10004,2026-08-29,22125,22429,26,0.372,4,5,38,42.21,True
1324_10004_27_22429_22187,1324,10004,2026-08-29,22429,22187,27,0.262,3,2,39,44.57,True
1324_10004_28_22187_22366,1324,10004,2026-08-29,22187,22366,28,0.675,2,4,37,41.57,True
1324_10004_29_22366_21847,1324,10004,2026-08-29,22366,21847,29,0.53,3,3,37,42.52,True
1324_10004_30_21847_22556,1324,10004,2026-08-29,21847,22556,30,0.429,5,2,40,45.69,True
1324_10004_31_22556_27778,1324,10004,2026-08-29,22556,27778,31,0.814,2,3,39,45.43,True
1324_10004_32_27778_38787,1324,10004,2026-08-29,27778,38787,32,0.159,2,2,39,45.67,True
1324_10004_33_38787_21739,1324,10004,2026-08-29,38787,21739,33,0.453,1,1,39,45.67,True
1324_10004_34_21739_22088,1324,10004,2026-08-29,21739,22088,34,0.636,2,1,40,50.17,True
1324_10004_35_22088_22514,1324,10004,2026-08-29,22088,22514,35,0.618,5,6,39,47.24,True
1324_10004_36_22514_22182,1324,10004,2026-08-29,22514,22182,36,0.794,0,3,36,43.34,True
1324_10004_37_22182_22458,1324,10004,2026-08-29,22182,22458,37,0.626,0,7,29,34.85,True
1324_10004_38_22458_22267,1324,10004,2026-08-29,22458,22267,38,0.456,1,6,24,28.81,True
1324_10004_39_22267_22185,1324,10004,2026-08-29,22267,22185,39,0.576,1,6,19,22.05,True
1324_10004_40_22185_22645_PF3,1324,10004,2026-08-29,22185,22645_PF3,40,0.745,1,12,8,13.39,True
1324_10004_41_22645_PF3_22645_PF3,1324,10004,2026-08-29,22645_PF3,22645_PF3,41,0.0,0,8,0,9.39,True
1324_10005_1_21172_22068,1324,10005,2026-08-29,21172,22068,1,0.638,2,0,2,3.45,True
1324_10005_2_22068_21869,1324,10005,2026-08-29,22068,21869,2,0.53,7,0,9,14.5,True
1324_10005_3_21869_22585,1324,10005,2026-08-29,21869,22585,3,0.552,5,0,14,22.01,True
1324_10005_4_22585_21704,1324,10005,2026-08-29,22585,21704,4,0.914,2,0,16,23.82,True
1324_10005_5_21704_21859,1324,10005,2026-08-29,21704,21859,5,0.552,2,1,17,22.68,True
1324_10005_6_21859_21912,1324,10005,2026-08-29,21859,21912,6,0.968,6,0,23,29.55,True
1324_10005_7_21912_21801,1324,10005,2026-08-29,21912,21801,7,0.396,3,2,24,28.52,True
1324_10005_8_21801_22378,1324,10005,2026-08-29,21801,22378,8,0.267,7,0,31,34.17,True
1324_10005_9_22378_22318,1324,10005,2026-08-29,22378,22318,9,0.3,5,0,36,38.46,True
1324_10005_10_22318_22401,1324,10005,2026-08-29,22318,22401,10,0.297,5,2,39,41.19,True
1324_10005_11_22401_22596,1324,10005,2026-08-29,22401,22596,11,0.311,3,2,40,42.2,True
1324_10005_12_22596_22135,1324,10005,2026-08-29,22596,22135,12,0.588,5,2,43,45.47,True
1324_10005_13_22135_22172,1324,10005,2026-08-29,22135,22172,13,0.614,7,3,47,48.26,True
1324_10005_14_22172_21656,1324,10005,2026-08-29,22172,21656,14,0.492,1,4,44,42.48,True
1324_10005_15_21656_21976,1324,10005,2026-08-29,21656,21976,15,0.277,2,2,44,43.22,True
1324_10005_16_21976_21966,1324,10005,2026-08-29,21976,21966,16,0.205,2,5,41,39.54,True
1324_10005_17_21966_22326,1324,10005,2026-08-29,21966,22326,17,0.349,3,1,43,40.54,True
1324_10005_18_22326_35837,1324,10005,2026-08-29,22326,35837,18,0.313,4,1,46,44.69,True
1324_10005_19_35837_22383,1324,10005,2026-08-29,35837,22383,19,0.227,3,4,45,42.11,True
1324_10005_20_22383_22600,1324,10005,2026-08-29,22383,22600,20,0.504,3,2,46,44.24,True
1324_10005_21_22600_22461,1324,10005,2026-08-29,22600,22461,21,0.236,2,5,43,41.55,True
1324_10005_22_22461_21667,1324,10005,2026-08-29,22461,21667,22,0.654,1,5,39,35.8,True
1324_10005_23_21667_22540,1324,10005,2026-08-29,21667,22540,23,0.414,2,2,39,36.46,True
1324_10005_24_22540_21777,1324,10005,2026-08-29,22540,21777,24,0.61,5,5,39,37.53,True
1324_10005_25_21777_22125,1324,10005,2026-08-29,21777,22125,25,0.738,3,3,39,39.55,True
